#한 행이 한 마리다. 지금 3개 파일 10개 배열에 흩어져 있는 것을 모은 것.
#id는 OBJECT.type 이다. 0~2는 히어로(검사/거너/헌터), 3부터가 몬스터.
#값은 소스에 적힌 글자 그대로다. 이름을 숫자로 바꾸지 않는다.
#id는 계약이다. 중간에 끼우지 말고 항상 맨 끝에 붙일 것 (content/README.md).
#\N은 그 배열에 이 번호가 없다는 뜻이다(monXYGap은 3번부터 시작).
id	enum_name	label	cmf	star	move_handler	draw_handler	add_hp	add_exp	xpos	ypos	stat_hp	stat_str	stat_def	zoom	icon_zoom	boss_zoom	ap_kind	ap_cnt	ap0_0	ap0_1	ap0_2	ap0_3	ap0_4	ap0_5	ap1_0	ap1_1	ap1_2	ap1_3	ap1_4	ap1_5	ap2_0	ap2_1	ap2_2	ap2_3	ap2_4	ap2_5	pose_motion	pose_frames	pose_x	pose_y	home_castle	bigicon_motion	bigicon_x	bigicon_y	skillicon_motion	skillicon_x	skillicon_y	gap_x	gap_y
10	ENEMY_SLIME	슬라임	CMF_SLIME	STAR1	ENEMYMOVE	ENEMYDRAW	0	0	TSIZE	TSIZE * 3	80	100	0	1.0f	1.0f	4.0f	SLIME_NEUTRAL	60 * 1	SLIME_MOVE	SLIME_ATTACK	SLIME_MOVE	SLIME_NEUTRAL	1	24 * _2X	0	0	0	0	0	0	0	0	0	0	0	0	PO_C33_N_D_0	4	0 * _2X	0 * _2X	CASTLE_SEWAGE	PO_C33_N_D_0	0 * _2X	-0 * _2X	PO_C33_N_D_0	0 * _2X	-2 * _2X	0	0
11	ENEMY_SLING	평원의 도적	CMF_SLING	STAR1	ENEMYMOVE	ENEMYDRAW	0	0	TSIZE	TSIZE * 5	60	100	100	1.0f	0.9f	3.0f	SLING_NEUTRAL	60 * 1	SLING_MOVE	SLING_ATTACK	SLING_MOVE	SLING_NEUTRAL	1	64 * _2X	0	0	0	0	0	0	0	0	0	0	0	0	PO_C12_N0	4	0 * _2X	0 * _2X	CASTLE_PLAIN	PO_C12_N0	0 * _2X	-6 * _2X	PO_C12_N0	-8 * _2X	-18 * _2X	0	0
12	ENEMY_BOAR	거친발멧돼지	CMF_BOAR	STAR1	ENEMYMOVE	ENEMYDRAW	50	0	TSIZE	TSIZE * 5	150	150	0	1.0f	0.7f	2.5f	BOAR_NEUTRAL	60 * 1	BOAR_MOVE	BOAR_DASH	BOAR_MOVE	BOAR_NEUTRAL	2	32 * _2X	BOAR_MOVE	BOAR_ATTACK	BOAR_MOVE	BOAR_NEUTRAL	1	28 * _2X	0	0	0	0	0	0	PO_C13_N0	4	0 * _2X	0 * _2X	CASTLE_PLAIN	PO_C13_N0	24 * _2X	-8 * _2X	PO_C13_N0	20 * _2X	-10 * _2X	0	0
13	ENEMY_FLAME	분노의 정령	CMF_FLAME	STAR1	ENEMYMOVE	ENEMYDRAW	0	0	TSIZE	TSIZE * 4	100	100	0	1.0f	1.0f	4.0f	FLAME_NEUTRAL	60 * 1	FLAME_MOVE_FAST	FLAME_ATTACK	FLAME_MOVE	FLAME_NEUTRAL	1	16 * _2X	0	0	0	0	0	0	0	0	0	0	0	0	PO_C15_N0	4	0 * _2X	0 * _2X	CASTLE_FLAME	PO_C15_N0	0 * _2X	-4 * _2X	PO_C15_N0	-4 * _2X	-0 * _2X	0	0
14	ENEMY_PHOENIX	마성의 불새	CMF_PHOENIX	STAR1	ENEMYMOVE	ENEMYDRAW	0	0	TSIZE	TSIZE * 6	90	100	0	1.0f	0.6f	3.0f	PHOENIX_NEUTRAL	60 * 1	PHOENIX_MOVE	PHOENIX_DASH	PHOENIX_MOVE	PHOENIX_NEUTRAL	2	96 * _2X	PHOENIX_MOVE	PHOENIX_ATTACK	PHOENIX_MOVE	PHOENIX_NEUTRAL	1	80 * _2X	0	0	0	0	0	0	PO_C16_N0	4	0 * _2X	0 * _2X	CASTLE_FLAME	PO_C16_N0	8 * _2X	-4 * _2X	PO_C16_N0	10 * _2X	-2 * _2X	0	-TSIZE
15	ENEMY_FACE	결빙의 석상	CMF_FACE	STAR1	ENEMYMOVE	ENEMYDRAW	0	0	TSIZE	TSIZE * 5	100	100	200	1.0f	0.9f	3.5f	FACE_STOP	60 * 1	FACE_NEUTRAL	FACE_ATTACK	FACE_NEUTRAL	FACE_NEUTRAL	1	80 * _2X	0	0	0	0	0	0	0	0	0	0	0	0	PO_C19_N0	4	0 * _2X	0 * _2X	CASTLE_FROST	PO_C19_N0	0 * _2X	0 * _2X	PO_C19_N0	-8 * _2X	-6 * _2X	0	0
16	ENEMY_SNOWMAN	스노우맨	CMF_SNOWMAN	STAR1	ENEMYMOVE	ENEMYDRAW	50	0	TSIZE	TSIZE * 5	110	100	200	1.0f	0.8f	3.0f	SNOWMAN_NEUTRAL	60 * 1	SNOWMAN_MOVE_FAST	SNOWMAN_ATTACK	SNOWMAN_MOVE	SNOWMAN_NEUTRAL	1	50 * _2X	0	0	0	0	0	0	0	0	0	0	0	0	PO_C18_N0	4	0 * _2X	0 * _2X	CASTLE_FROST	PO_C18_N0	8 * _2X	-4 * _2X	PO_C18_N0	0 * _2X	-12 * _2X	0	0
17	ENEMY_ICESUN	아이스마스크	CMF_ICESUN	STAR1	ENEMYMOVE	ENEMYDRAW	0	0	TSIZE	TSIZE * 8	90	100	200	0.8f	0.5f	2.5f	ICESUN_NEUTRAL	60 * 1	ICESUN_MOVE	ICESUN_ATTACK	ICESUN_MOVE	ICESUN_NEUTRAL	1	48 * _2X	0	0	0	0	0	0	0	0	0	0	0	0	PO_C20_A0	8	0 * _2X	0 * _2X	CASTLE_FROST	PO_C20_A1	0 * _2X	-8 * _2X	PO_C20_A1	2 * _2X	-20 * _2X	0	0
18	ENEMY_LIGHTNING	스파크	CMF_SPARK	STAR1	ENEMYMOVE	ENEMYDRAW	0	0	TSIZE	TSIZE * 3	40	100	0	1.0f	1.0f	3.0f	LIGHTNING_NEUTRAL	60 * 1	LIGHTNING_FASTMOVE	LIGHTNING_ATTACK	LIGHTNING_FASTMOVE	LIGHTNING_NEUTRAL	1	16 * _2X	0	0	0	0	0	0	0	0	0	0	0	0	PO_C22_N0	4	0 * _2X	0 * _2X	CASTLE_THUNDER	PO_C22_N0	2 * _2X	0 * _2X	PO_C22_N0	0 * _2X	0 * _2X	0	0
19	ENEMY_THUNDER	다크미스트	CMF_THUNDER	STAR1	ENEMYMOVE	CLOUDDRAW	0	0	TSIZE	TSIZE * 6	100	100	0	1.0f	0.8f	3.0f	THUNDER_NEUTRAL	60 * 1	THUNDER_PLAYER_MOVE	THUNDER_ATTACK	THUNDER_MOVE	THUNDER_NEUTRAL	1	8 * _2X	0	0	0	0	0	0	0	0	0	0	0	0	PO_C24_N0	4	0 * _2X	0 * _2X	CASTLE_THUNDER	PO_C24_N0	0 * _2X	-8 * _2X	PO_C24_N0	-8 * _2X	-10 * _2X	0	-TSIZE
20	ENEMY_CRYSTAL	스파크플랜트	CMF_CRYSTAL	STAR1	ENEMYMOVE	ENEMYDRAW	0	0	TSIZE	TSIZE * 7	120	100	0	0.8f	0.55f	2.5f	CRYSTAL_NEUTRAL	0	CRYSTAL_NEUTRAL	CRYSTAL_ATTACK	CRYSTAL_NEUTRAL	CRYSTAL_NEUTRAL	1	WIDEAREAWIDTH	0	0	0	0	0	0	0	0	0	0	0	0	PO_C23_N0	8	0 * _2X	0 * _2X	CASTLE_THUNDER	PO_C23_N1	0 * _2X	-24 * _2X	PO_C23_N1	-8 * _2X	-32 * _2X	0	0
21	ENEMY_FAIRY	라이트스피릿	CMF_FAIRY	STAR1	ENEMYMOVE	ENEMYDRAW	0	0	TSIZE	TSIZE * 6	50	100	0	1.0f	0.8f	3.0f	FAIRY_NEUTRAL	60 * 1	FAIRY_MOVE	FAIRY_ATTACK	FAIRY_MOVE	FAIRY_NEUTRAL	1	16 * _2X	0	0	0	0	0	0	0	0	0	0	0	0	PO_C35_N0	4	0 * _2X	0 * _2X	CASTLE_LIGHT	PO_C35_N0	0 * _2X	-12 * _2X	PO_C35_N0	-4 * _2X	-14 * _2X	0	-TSIZE
22	ENEMY_CIRCLE	딜루전소울	CMF_CIRCLE	STAR1	ENEMYMOVE	ENEMYDRAW	100	0	TSIZE	TSIZE * 6	150	100	0	0.7f	0.6f	2.5f	CIRCLE_NEUTRAL	60 * 1	CIRCLE_PLAYER_MOVE	CIRCLE_DASH	CIRCLE_PLAYER_MOVE	CIRCLE_NEUTRAL	1	64 * _2X	0	0	0	0	0	0	0	0	0	0	0	0	PO_C36_N0	4	0 * _2X	0 * _2X	CASTLE_LIGHT	PO_C36_N0	0 * _2X	-0 * _2X	PO_C36_N0	-16 * _2X	-16 * _2X	0	-TSIZE
23	ENEMY_SPIDER	스트라이더	CMF_SPIDER	STAR1	ENEMYMOVE	SPIDERDRAW	0	0	TSIZE	TSIZE * 5	120	150	200	0.8f	0.6f	2.5f	SPIDER_DOWN_NEUTRAL	60 * 1	SPIDER_DOWN_MOVE	SPIDER_DOWN_LASER	SPIDER_DOWN_MOVE	SPIDER_DOWN_NEUTRAL	1	80 * _2X	0	0	0	0	0	0	0	0	0	0	0	0	PO_C27_D_N0	4	0 * _2X	0 * _2X	CASTLE_GOLEMVALLEY	PO_C27_D_N0	16 * _2X	-8 * _2X	PO_C27_D_N0	8 * _2X	-4 * _2X	0	0
24	ENEMY_GOLEM	주인잃은 골렘	CMF_GOLEM	STAR1	ENEMYMOVE	ENEMYDRAW	100	0	TSIZE	TSIZE * 8	100	100	300	0.7f	0.5f	2.5f	GOLEM_NEUTRAL	60 * 1	GOLEM_MOVE_FAST	GOLEM_SPEEDATTACK	GOLEM_MOVE_FAST	GOLEM_NEUTRAL	1	60 * _2X	GOLEM_MOVE_FAST	GOLEM_ATTACK	GOLEM_MOVE_FAST	GOLEM_NEUTRAL	1	60 * _2X	0	0	0	0	0	0	PO_C26_N0	4	0 * _2X	0 * _2X	CASTLE_GOLEMVALLEY	PO_C26_N0	8 * _2X	-28 * _2X	PO_C26_N0	8 * _2X	-40 * _2X	0	0
25	ENEMY_DARKGIANT	그레이트아머	CMF_DARKGIANT	STAR1	ENEMYMOVE	ENEMYDRAW	200	0	TSIZE	TSIZE * 10	200	100	200	0.6f	0.38f	2.5f	DARKGIANT_NEUTRAL	60 * 1	DARKGIANT_MOVE	DARKGIANT_MOVE	DARKGIANT_MOVE	DARKGIANT_NEUTRAL	1	32 * _2X	0	0	0	0	0	0	0	0	0	0	0	0	PO_C39_N0	4	0 * _2X	-36 * _2X	CASTLE_DARKNESS	PO_C39_N0	16 * _2X	-60 * _2X	PO_C39_N0	-8 * _2X	-16 * _2X	0	0
26	ENEMY_DARKDRAGON	우로보로스	CMF_DARKDRAGON	STAR1	ENEMYMOVE	ENEMYDRAW	0	0	TSIZE	TSIZE * 9	30	150	100	0.8f	0.48f	3.0f	DARKDRAGON_HEAD	0	DARKDRAGON_HEAD	DARKDRAGON_HEAD	DARKDRAGON_HEAD	DARKDRAGON_HEAD	1	14 * _2X	0	0	0	0	0	0	0	0	0	0	0	0	PO_C38_N0	4	0 * _2X	0 * _2X	CASTLE_DARKNESS	PO_C38_N0	10 * _2X	-32 * _2X	PO_C38_N0	-8 * _2X	-16 * _2X	0	0
27	ENEMY_DRAGON1	탐욕의 살육자	CMF_DRAGON1	STAR1	ENEMYMOVE	ENEMYDRAW	0	0	TSIZE	TSIZE * 5	100	150	100	0.7f	0.7f	3.0f	DRAGON1_NEUTRAL	60 * 1	DRAGON1_MOVE_FAST	DRAGON1_ATTACK	DRAGON1_MOVE_FAST	DRAGON1_NEUTRAL	1	24 * _2X	0	0	0	0	0	0	0	0	0	0	0	0	PO_C41_N0	4	0 * _2X	0 * _2X	CASTLE_DRAGON	PO_C41_N0	12 * _2X	-8 * _2X	PO_C41_N0	8 * _2X	-16 * _2X	0	0
28	ENEMY_DRAGON2	드래곤좀비	CMF_DRAGON2	STAR1	ENEMYMOVE	ENEMYDRAW	0	0	TSIZE	TSIZE * 10	150	100	100	0.6f	0.4f	2.5f	DRAGON2_NEUTRAL	60 * 1	DRAGON2_NEUTRAL	DRAGON2_ATTACK	DRAGON2_NEUTRAL	DRAGON2_NEUTRAL	1	WIDEAREAWIDTH	0	0	0	0	0	0	0	0	0	0	0	0	PO_C42_N0	4	16 * _2X	-32 * _2X	CASTLE_DRAGON	PO_C42_N3	32 * _2X	-40 * _2X	PO_C42_N3	16 * _2X	-48 * _2X	0	0
29	ENEMY_GHOST	떠도는 영혼	CMF_GHOST	STAR1	ENEMYMOVE	ENEMYDRAW	0	0	TSIZE	TSIZE * 5	80	100	0	1.0f	0.8f	3.0f	GHOST_NEUTRAL	60 * 1	GHOST_MOVE	GHOST_ATTACK	GHOST_MOVE	GHOST_NEUTRAL	1	48 * _2X	0	0	0	0	0	0	0	0	0	0	0	0	PO_C30_N0	4	0 * _2X	0 * _2X	CASTLE_GHOST	PO_C30_N0	0 * _2X	-8 * _2X	PO_C30_N0	-8 * _2X	-16 * _2X	0	-TSIZE
30	ENEMY_PUMPKIN	무혼의 기사	CMF_PUMPKIN	STAR1	ENEMYMOVE	ENEMYDRAW	0	0	TSIZE	TSIZE * 6	100	120	100	1.0f	0.6f	3.0f	PUMPKIN_NEUTRAL	60 * 1	PUMPKIN_MOVE_FAST	PUMPKIN_RUSHATTACK	PUMPKIN_MOVE_FAST	PUMPKIN_NEUTRAL	2	64 * _2X	0	0	0	0	0	0	0	0	0	0	0	0	PO_C29_N0	4	0 * _2X	0 * _2X	CASTLE_GHOST	PO_C29_N0	8 * _2X	-20 * _2X	PO_C29_N0	-8 * _2X	-24 * _2X	0	0
31	ENEMY_CASTLE1	어둠의 마도사	CMF_CASTLE1	STAR1	SIGNMOVE	ENEMYDRAW	0	0	TSIZE	TSIZE * 6	80	120	150	0.8f	0.6f	3.5f	CASTLE1_NEUTRAL	60 * 1	CASTLE1_MOVE	CASTLE1_ATTACK	CASTLE1_MOVE	CASTLE1_NEUTRAL	1	60 * _2X	0	0	0	0	0	0	0	0	0	0	0	0	PO_C44_N0	4	0 * _2X	0 * _2X	CASTLE_DEVILCASTLE	PO_C44_N0	16 * _2X	-12 * _2X	PO_C44_N0	0 * _2X	-28 * _2X	0	-TSIZE
32	ENEMY_CASTLE2	공허한 갑주	CMF_CASTLE2	STAR1	ENEMYMOVE	ENEMYDRAW	100	0	TSIZE	TSIZE * 10	150	150	300	0.6f	0.38f	2.5f	CASTLE2_NEUTRAL	60 * 1	CASTLE2_MOVE	CASTLE2_ATTACK	CASTLE2_MOVE	CASTLE2_NEUTRAL	1	88 * _2X	0	0	0	0	0	0	0	0	0	0	0	0	PO_C45_N0	4	8 * _2X	-40 * _2X	CASTLE_DEVILCASTLE	PO_C45_N0	20 * _2X	-56 * _2X	PO_C45_N0	0 * _2X	-60 * _2X	0	0
33	ENEMY_SPACE1	안드로볼	CMF_SPACE1	STAR1	ENEMYMOVE	ENEMYDRAW	0	0	TSIZE	TSIZE * 5	100	120	270	1.0f	0.8f	3.0f	SPACE1_NEUTRAL	60 * 1	SPACE1_MOVE	SPACE1_ATTACK	SPACE1_MOVE	SPACE1_NEUTRAL	1	20 * _2X	0	0	0	0	0	0	0	0	0	0	0	0	PO_C46_A0	6	0 * _2X	0 * _2X	CASTLE_SPACE	PO_C46_A1	0 * _2X	-0 * _2X	PO_C46_A1	-8 * _2X	-16 * _2X	0	-TSIZE
34	ENEMY_SPACE2	메탈가우스	CMF_SPACE2	STAR1	ENEMYMOVE	ENEMYDRAW	0	0	TSIZE	TSIZE * 5	100	120	280	1.0f	0.9f	3.0f	SPACE2_NEUTRAL	60 * 1	SPACE2_MOVE	SPACE2_ATTACK	SPACE2_MOVE	SPACE2_NEUTRAL	1	80 * _2X	0	0	0	0	0	0	0	0	0	0	0	0	PO_C47_A0	12	0 * _2X	0 * _2X	CASTLE_SPACE	PO_C47_A1	0 * _2X	-4 * _2X	PO_C47_A1	-8 * _2X	-16 * _2X	0	0
35	ENEMY_FROG	토드뮤턴트	CMF_FROG	STAR1	ENEMYMOVE	ENEMYDRAW	900	0	TSIZE	TSIZE * 7	100	100	0	0.7f	0.5f	2.5f	FROG_NEUTRAL	60 * 5	FROG_MOVE	FROG_ATTACK	FROG_MOVE	FROG_NEUTRAL	1	80 * _2X	FROG_MOVE	FROG_JUMP	FROG_MOVE	FROG_NEUTRAL	1	48 * _2X	0	0	0	0	0	0	PO_C5_N0	4	8 * _2X	-8 * _2X	CASTLE_SWAMP	PO_C5_N0	32 * _2X	-24 * _2X	PO_C5_N0	12 * _2X	-32 * _2X	0	0
36	ENEMY_LARVA	아르곤	CMF_LARVA	STAR1	ENEMYMOVE	ENEMYDRAW	900	0	TSIZE	TSIZE * 8	70	100	0	0.7f	0.45f	2.5f	LARVA_NEUTRAL	60 * 1	LARVA_NEUTRAL	LARVA_ATTACK	LARVA_NEUTRAL	LARVA_NEUTRAL	1	WIDEAREAWIDTH	LARVA_NEUTRAL	LARVA_SHOT	LARVA_NEUTRAL	LARVA_NEUTRAL	1	WIDEAREAWIDTH	0	0	0	0	0	0	PO_C8_N0	4	28 * _2X	-20 * _2X	CASTLE_VALLEY	PO_C8_U5	40 * _2X	-28 * _2X	PO_C8_N0	24 * _2X	-12 * _2X	TSIZE	0
37	ENEMY_SALAMANDER	카툼	CMF_SALAMANDER	STAR1	ENEMYMOVE	ENEMYDRAW	900	0	TSIZE	TSIZE * 8	100	150	100	0.7f	0.5f	2.5f	SALAMANDER_NEUTRAL	60 * 1	SALAMANDER_MOVE	SALAMANDER_ATTACK	SALAMANDER_MOVE	SALAMANDER_NEUTRAL	1	92 * _2X	SALAMANDER_MOVE	SALAMANDER_JUMPATTACK	SALAMANDER_MOVE	SALAMANDER_NEUTRAL	2	32 * _2X	0	0	0	0	0	0	PO_C11_N0	4	0 * _2X	-20 * _2X	CASTLE_ATLANTICE	PO_C11_N0	12 * _2X	-40 * _2X	PO_C11_N0	-8 * _2X	-48 * _2X	0	0
38	ENEMY_GIANT	고대의 수호자	CMF_GIANT	STAR1	ENEMYMOVE	ENEMYDRAW	900	0	TSIZE	TSIZE * 9	100	120	300	0.7f	0.45f	2.5f	GIANT_NEUTRAL	60 * 1	GIANT_NEUTRAL	GIANT_BULLET	GIANT_NEUTRAL	GIANT_NEUTRAL	2	WIDEAREAWIDTH	GIANT_MOVE	GIANT_ATTACK	GIANT_MOVE	GIANT_NEUTRAL	1	64 * _2X	0	0	0	0	0	0	PO_C14_N0	4	0 * _2X	-32 * _2X	CASTLE_PLAIN	PO_C14_N0	8 * _2X	-48 * _2X	PO_C14_N0	-8 * _2X	-16 * _2X	0	0
39	ENEMY_IFRIT	이프리트	CMF_IFRIT	STAR1	ENEMYMOVE	ENEMYDRAW	900	0	TSIZE	TSIZE * -2	150	120	200	0.6f	0.33f	2.5f	IFRIT_NEUTRAL	60 * 1	IFRIT_MOVE	IFRIT_DASH	IFRIT_MOVE	IFRIT_NEUTRAL	2	80 * _2X	IFRIT_NEUTRAL	IFRIT_ATTACK	IFRIT_NEUTRAL	IFRIT_NEUTRAL	1	WIDEAREAWIDTH	0	0	0	0	0	0	PO_C17_N0	4	0 * _2X	-52 * _2X	CASTLE_FLAME	PO_C17_N0	4 * _2X	-72 * _2X	PO_C17_N0	0 * _2X	-32 * _2X	0	-TSIZE
40	ENEMY_MAMMOTH	프로스트	CMF_MAMMOTH	STAR1	ENEMYMOVE	ENEMYDRAW	900	0	TSIZE	TSIZE * 10	80	120	300	0.5f	0.4f	2.5f	MAMMOTH_NEUTRAL	60 * 1	MAMMOTH_MOVE	MAMMOTH_SHOT	MAMMOTH_MOVE	MAMMOTH_NEUTRAL	1	120 * _2X	MAMMOTH_MOVE	MAMMOTH_SHOCKWAVE	MAMMOTH_MOVE	MAMMOTH_NEUTRAL	2	120 * _2X	0	0	0	0	0	0	PO_C21_N0	4	8 * _2X	-8 * _2X	CASTLE_FROST	PO_C21_N0	20 * _2X	-12 * _2X	PO_C21_N0	10 * _2X	-6 * _2X	0	0
41	ENEMY_MACHINE	라이오너	CMF_MACHINE	STAR1	ENEMYMOVE	ENEMYDRAW	0	0	TSIZE	TSIZE * 6	80	120	300	0.7f	0.5f	2.5f	MACHINE_NEUTRAL	60 * 1	THUNDERBOSS_MOVE	THUNDERBOSS_ATTACK	THUNDERBOSS_MOVE	THUNDERBOSS_NEUTRAL	1	88 * _2X	0	0	0	0	0	0	0	0	0	0	0	0	PO_C25_W0_L	1	0 * _2X	8 * _2X	CASTLE_THUNDER	PO_C25_W0_L	0 * _2X	8 * _2X	PO_C25_W0_L	-8 * _2X	-16 * _2X	0	-TSIZE
42	ENEMY_ANGEL	호루스	CMF_ANGEL	STAR1	ENEMYMOVE	ENEMYDRAW	900	0	TSIZE	TSIZE * 10	50	120	100	0.6f	0.4f	2.5f	ANGEL_NEUTRAL	60 * 1	ANGEL_MOVE	ANGEL_SHOT	ANGEL_MOVE	ANGEL_NEUTRAL	1	80 * _2X	ANGEL_MOVE	ANGEL_ATTACK	ANGEL_MOVE	ANGEL_NEUTRAL	1	80 * _2X	ANGEL_MOVE	ANGEL_DASHATTACK	ANGEL_MOVE	ANGEL_NEUTRAL	1	40 * _2X	PO_C37_N0	4	0 * _2X	-36 * _2X	CASTLE_LIGHT	PO_C37_N0	0 * _2X	-52 * _2X	PO_C37_N0	-8 * _2X	-56 * _2X	0	0
