#한 행이 하나다. 여러 파일 여러 배열에 흩어져 있던 것을 모은 것.
#값은 소스에 적힌 글자 그대로다. 이름을 숫자로 바꾸지 않는다.
#id는 계약이다. 중간에 끼우지 말고 항상 맨 끝에 (content/README.md).
#\N은 그 배열에 이 번호가 없다는 뜻이다.
id	enum_name	label	enemy_type	str	skill1	skill2	skill3	card_bg
16	CREW_ITEM		NPC_ITEM	49	NPC_ITEM_SKILL1	NPC_ITEM_SKILL2	NPC_ITEM_SKILL3	9
17	CREW_ELFUNCLE		NPC_ELFUNCLE	52	NPC_ELFUNCLE_SKILL1	NPC_ELFUNCLE_SKILL2	NPC_ELFUNCLE_SKILL3	9
18	CREW_ELFAUNT		NPC_ELFAUNT	56	NPC_ELFAUNT_SKILL1	NPC_ELFAUNT_SKILL2	NPC_ELFAUNT_SKILL3	10
19	CREW_ADELKNIGHT		NPC_ADELKNIGHT	60	NPC_ADELKNIGHT_SKILL1	NPC_ADELKNIGHT_SKILL2	NPC_ADELKNIGHT_SKILL3	10
20	CREW_OWL		NPC_OWL	64	NPC_OWL_SKILL1	NPC_OWL_SKILL2	NPC_OWL_SKILL3	11
21	CREW_MAID		NPC_MAID	70	NPC_MAID_SKILL1	NPC_MAID_SKILL2	NPC_MAID_SKILL3	11
22	CREW_BUNNYGIRL		NPC_BUNNYGIRL	75	NPC_BUNNYGIRL_SKILL1	NPC_BUNNYGIRL_SKILL2	NPC_BUNNYGIRL_SKILL3	11
23	CREW_MAP		NPC_MAP	81	NPC_MAP_SKILL1	NPC_MAP_SKILL2	NPC_MAP_SKILL3	11
24	CREW_MONICA		NPC_MONICA	86	NPC_MONICA_SKILL1	NPC_MONICA_SKILL2	NPC_MONICA_SKILL3	11
25	CREW_SEABOY		NPC_SEABOY	94	NPC_SEABOY_SKILL1	NPC_SEABOY_SKILL2	NPC_SEABOY_SKILL3	11
26	CREW_DOBEL		NPC_DOBEL	101	NPC_DOBEL_SKILL1	NPC_DOBEL_SKILL2	NPC_DOBEL_SKILL3	11
27	CREW_GAGEL		NPC_GAGEL	108	NPC_GAGEL_SKILL1	NPC_GAGEL_SKILL2	NPC_GAGEL_SKILL3	11
28	CREW_ELFGRANDFA		NPC_ELFGRANDFA	116	NPC_ELFGRANDFA_SKILL1	NPC_ELFGRANDFA_SKILL2	NPC_ELFGRANDFA_SKILL3	11
29	CREW_ELFWOMAN		NPC_ELFWOMAN	125	NPC_ELFWOMAN_SKILL1	NPC_ELFWOMAN_SKILL2	NPC_ELFWOMAN_SKILL3	11
30	CREW_ELFMAN		NPC_ELFMAN	134	NPC_ELFMAN_SKILL1	NPC_ELFMAN_SKILL2	NPC_ELFMAN_SKILL3	11
31	CREW_ELFDANCER		NPC_ELFDANCER	145	NPC_ELFDANCER_SKILL1	NPC_ELFDANCER_SKILL2	NPC_ELFDANCER_SKILL3	11
32	CREW_NOBLEMAN		NPC_NOBLEMAN	156	NPC_NOBLEMAN_SKILL1	NPC_NOBLEMAN_SKILL2	NPC_NOBLEMAN_SKILL3	11
33	CREW_SCHOLAR		NPC_SCHOLAR	167	NPC_SCHOLAR_SKILL1	NPC_SCHOLAR_SKILL2	NPC_SCHOLAR_SKILL3	11
34	CREW_NETITEM		NPC_NETITEM	180	NPC_NETITEM_SKILL1	NPC_NETITEM_SKILL2	NPC_NETITEM_SKILL3	11
35	CREW_FATMAN		NPC_FATMAN	194	NPC_FATMAN_SKILL1	NPC_FATMAN_SKILL2	NPC_FATMAN_SKILL3	11
36	CREW_CRAFTMAN		NPC_CRAFTMAN	209	NPC_CRAFTMAN_SKILL1	NPC_CRAFTMAN_SKILL2	NPC_CRAFTMAN_SKILL3	11
37	CREW_LUISE		NPC_LUISE	224	NPC_LUISE_SKILL1	NPC_LUISE_SKILL2	NPC_LUISE_SKILL3	11
38	CREW_DOG		NPC_DOG	242	NPC_DOG_SKILL1	NPC_DOG_SKILL2	NPC_DOG_SKILL3	11
39	CREW_KNIGHT		NPC_KNIGHT	260	NPC_KNIGHT_SKILL1	NPC_KNIGHT_SKILL2	NPC_KNIGHT_SKILL3	11
40	CREW_WITCH		NPC_WITCH	280	NPC_WITCH_SKILL1	NPC_WITCH_SKILL2	NPC_WITCH_SKILL3	11
41	CREW_BISTRO		NPC_BISTRO	301	NPC_BISTRO_SKILL1	NPC_BISTRO_SKILL2	NPC_BISTRO_SKILL3	11
42	CREW_SEBASTIAN		NPC_SEBASTIAN	324	NPC_SEBASTIAN_SKILL1	NPC_SEBASTIAN_SKILL2	NPC_SEBASTIAN_SKILL3	11
43	CREW_FISHING		NPC_FISHING	348	NPC_FISHING_SKILL1	NPC_FISHING_SKILL2	NPC_FISHING_SKILL3	11
44	CREW_FRAUD		NPC_FRAUD	374	NPC_FRAUD_SKILL1	NPC_FRAUD_SKILL2	NPC_FRAUD_SKILL3	11
45	CREW_ELFMAGIC		NPC_ELFMAGIC	403	NPC_ELFMAGIC_SKILL1	NPC_ELFMAGIC_SKILL2	NPC_ELFMAGIC_SKILL3	11
46	CREW_DARIAN		NPC_DARIAN	433	NPC_DARIAN_SKILL1	NPC_DARIAN_SKILL2	NPC_DARIAN_SKILL3	11
47	CREW_DONALD		NPC_DONALD	466	NPC_DONALD_SKILL1	NPC_DONALD_SKILL2	NPC_DONALD_SKILL3	11
48	CREW_ELFDARK		NPC_ELFDARK	501	NPC_ELFDARK_SKILL1	NPC_ELFDARK_SKILL2	NPC_ELFDARK_SKILL3	11
49	CREW_NEZAR		NPC_NEZAR	540	NPC_NEZAR_SKILL1	NPC_NEZAR_SKILL2	NPC_NEZAR_SKILL3	11
50	CREW_DURAK		NPC_DURAK	579	NPC_DURAK_SKILL1	NPC_DURAK_SKILL2	NPC_DURAK_SKILL3	11
51	CREW_WOMANGHOST		NPC_WOMANGHOST	625	NPC_WOMANGHOST_SKILL1	NPC_WOMANGHOST_SKILL2	NPC_WOMANGHOST_SKILL3	11
52	CREW_MANGHOST		NPC_MANGHOST	671	NPC_MANGHOST_SKILL1	NPC_MANGHOST_SKILL2	NPC_MANGHOST_SKILL3	11
53	CREW_AUSTIN		NPC_AUSTIN	723	NPC_AUSTIN_SKILL1	NPC_AUSTIN_SKILL2	NPC_AUSTIN_SKILL3	11
54	CREW_ELEIN		NPC_ELEIN	778	NPC_ELEIN_SKILL1	NPC_ELEIN_SKILL2	NPC_ELEIN_SKILL3	11
55	CREW_USERQUEST		NPC_USERQUEST	837	NPC_USERQUEST_SKILL1	NPC_USERQUEST_SKILL2	NPC_USERQUEST_SKILL3	12
56	CREW_CHEF		NPC_CHEF	900	NPC_CHEF_SKILL1	NPC_CHEF_SKILL2	NPC_CHEF_SKILL3	12
57	CREW_CAPTAIN		NPC_CAPTAIN	968	NPC_CAPTAIN_SKILL1	NPC_CAPTAIN_SKILL2	NPC_CAPTAIN_SKILL3	13
58	CREW_ELKEIN		NPC_ELKEIN	1041	NPC_ELKEIN_SKILL1	NPC_ELKEIN_SKILL2	NPC_ELKEIN_SKILL3	13
59	CREW_DELPIOS		NPC_DELPIOS	1120	NPC_DELPIOS_SKILL1	NPC_DELPIOS_SKILL2	NPC_DELPIOS_SKILL3	14
60	CREW_LABETH		NPC_LABETH	1206	NPC_LABETH_SKILL1	NPC_LABETH_SKILL2	NPC_LABETH_SKILL3	14
61	CREW_EVAN		NPC_EVAN	1295	NPC_EVAN_SKILL1	NPC_EVAN_SKILL2	NPC_EVAN_SKILL3	14
62	CREW_LORA		NPC_LORA	1396	NPC_LORA_SKILL1	NPC_LORA_SKILL2	NPC_LORA_SKILL3	14
63	CREW_KING		NPC_KING	1498	NPC_KING_SKILL1	NPC_KING_SKILL2	NPC_KING_SKILL3	14
